key,title,year,journal,doi,score,decision,matched_terms
9AXS8I2W,Transforming society through critical service-learning: A position for a justice-based approach to experiential learning in physical therapy education,2023,Journal of Physical Therapy Education,10.1097/jte.0000000000000299,18,candidate,
RH8IL24Y,Wikipedia as an academic service-learning tool in science and technology: higher education case from Siberia,2023,Journal of Community Genetics,10.1007/s12687-023-00692-6,17,candidate,
WSZ4YNKB,The impact of mandatory academic service-learning on university graduates’ continual civic engagement: evidence from a curriculum reform,2025,Higher Education Research & Development,10.1080/07294360.2025.2467901,17,candidate,
BYCUTLYQ,Enhancing Social Marketing Education Through Experiential Learning: A Case Study of a Student Project for the Visually Impaired,2026,Social Marketing Quarterly,10.1177/15245004251382177,16,candidate,
S75XGURH,Beyond the classroom: Integrating the ORID model for in-depth reflection and assessment in service-learning,2024,Education Sciences,10.3390/educsci14090987,16,candidate,
CS3PP8PR,Assessing student achievement of learning outcomes through academic service-learning: A constructive alignment study,2021,Journal of Higher Education Theory and Practice,10.33423/jhetp.v21i8.4513,16,candidate,
BZC7V43D,Experiential learning and inclusion through service-learning: Recommendations for kinesiology to support students and people with impairments,2021,Quest,10.1080/00336297.2021.1917428,15,candidate,
EPHPPVPW,Integrating service-learning into an introduction to entrepreneurship course,2010,Journal of Management Education,10.1177/1052562909337906,15,candidate,
JFPCHCIP,"STEM, Sports, and Service-Learning: Exploring Undergraduates’ Experiential Learning and Social Consciousness as Summer Program Volunteers",2025,Journal of Experiential Education,10.1177/10538259251331584,15,candidate,
QNQYEA2Z,To be or not to be. Service-learning in a higher education institution,2019,Bordón. Revista de Pedagogía,10.13042/Bordon.2019.72004,15,candidate,
UXQSQC56,A theoretical and practical framework for service-learning in marketing: Kolb’s experiential learning cycle,2000,Journal of Marketing Education,10.1177/0273475300221008,15,candidate,
XSIUCHQY,Service learning in higher education: A systematic literature review,2019,Asia Pacific Education Review,10.1007/s12564-019-09580-6,15,candidate,
WTAK83RD,More than experiential learning or volunteering: A case study of community service learning within the Australian context,2009,Higher Education Research & Development,10.1080/07294360903161147,15,candidate,
QYPFRUBZ,A meta-analysis of the impact of service-learning on students,2011,Journal of Experiential Education,10.1177/105382591103400205,14,candidate,
384926ST,Integrating community engagement with management education,2017,Education + Training,10.1108/et-04-2016-0078,13,candidate,
4YU6VHN4,Impactful social entrepreneurship education: A US-spanish service learning collaborative online international learning (COIL) project,2023,The International Journal of Management Education,10.1016/j.ijme.2023.100866,13,candidate,
AP4CVZHT,Service learning as a gateway to students’ sense of belonging in higher education: A case study of an international branch campus,2025,"Higher Education, Skills and Work-Based Learning",10.1108/HESWBL-02-2025-0058,13,candidate,
RESBVRRZ,How students’ motivation and learning experience affect their service- learning outcomes: A structural equation modeling analysis,2022,Frontiers in Psychology,10.3389/fpsyg.2022.825902,13,candidate,
2Y2PEBJV,“Real Students Helping Others”: Student Reflections on a Research-Based Service-Learning Project in a Gender and Victimization Course,2023,Journal of Experiential Education,10.1177/10538259221134873,12,candidate,
3NV44SVD,University-community partnerships for sustainable health: insights from public health school’s community day of service,2025,International Journal of Sustainability in Higher Education,10.1108/IJSHE-04-2025-0283,12,candidate,
5ARYPC97,The impact of service learning supported by the ePortfolio on the development of professional competencies,2024,Teaching Education,10.1080/10476210.2023.2281396,12,candidate,
6MI9WC7N,Promotion of meaning in life and wellbeing among university students during the COVID-19 pandemic via a service-learning subject,2022,Frontiers in Public Health,10.3389/fpubh.2022.924711,12,candidate,
I7RX7VP6,Service learning: An empowerment agenda for students and community ent repreneurs.,2018,,,12,candidate,
SLF3YC2D,Understanding how service learning pedagogy impacts student learning objectives,2018,Journal of Education for Business,10.1080/08832323.2018.1444574,12,candidate,
TNF6HBR4,Critical service-learning supports social justice and civic engagement orientations in college students,2022,Michigan Journal of Community Service Learning,10.3998/mjcsl.292,12,candidate,
2AT9FC3T,Nonprofit agency perspectives of higher education service learning and volunteerism,2002,Journal of Nonprofit & Public Sector Marketing,10.1300/J054v10n02_12,12,candidate,
P6GXDAN3,"A meta-analysis on the effects of service-learning on the social, personal, and cognitive outcomes of learning",2012,Academy of Management Learning & Education,10.5465/amle.2010.0072,12,candidate,
PHWJCUJM,Experiential learning in entrepreneurship education: A systematic literature review,2023,Teaching and Teacher Education,10.1016/j.tate.2022.103919,12,candidate,
4AYIPAAB,Theoretical foundations of service-learning in nursing education,2002,Journal of Nursing Education,10.3928/0148-4834-20021001-04,11,candidate,
5VTKHEYP,"Service learning as supported, social learning for international students: an Australian case study",2023,International Journal of Inclusive Education,10.1080/13603116.2020.1864789,11,candidate,
6DMJQLKK,Service-learning for sustainability entrepreneurship in rural areas: W hat is its global impact on business university students?,2019,Sustainability,10.3390/su11195296,11,candidate,
6I3KRJQH,Service-learning for sustainability entrepreneurship in rural areas: W hat is its global impact on business university students?,2019,Sustainability,,11,candidate,
AQGWCKB2,Using a critical service-learning approach to facilitate civic identity development,2015,Theory Into Practice,10.1080/00405841.2015.977657,11,candidate,
CS937UKX,Empowering communities through service-learning: a model for nonprofit volunteerism and civic responsibility,2026,Social Responsibility Journal,10.1108/SRJ-03-2025-0198,11,candidate,
EKXCAWJP,Teaching intercultural citizenship through intercultural service learning in world language education,2021,Foreign Language Annals,10.1111/flan.12526,11,candidate,
GZR4UGG4,Community partners' experiences of higher education service-learning in a community engagement module,2022,Journal of Applied Research in Higher Education,10.1108/JARHE-09-2020-0327,11,candidate,
S5RYD7ND,Active learning through service-learning,2006,Communication Disorders Quarterly,10.1177/15257401060270030201,11,candidate,
